TS 推送
JSOLTWL 计算OLT网络
R 容
LB 率表
QH 切换
LP 两票
KXZL 馈线治理
XXTJ 信息统计
PMS2.0 pms2.0
KXD 馈线大
ZC 自查
DZLB 电阻流变
JXGD 接线供电
TP 拓扑
) )
SBKZ 设备扩展
TZWJ 跳闸危急
WL 物理
GZTY 工作停役
SB（ 设备（
TJJD 统计进度
FB 附表
XF 消防
D 的
SDSY 隧道示意
DQWX 电器维修
JYZLXKX 绝缘子拉线馈线
SÈ 十二
Y 应
BÈB 表二表
DBFZ 段表分支
WZ 外柱
DJB 登记表
PHPB 票号票表
DW 代维
DZBD 电站变电
SGXC 施工现场
RYZH 人员指挥
BH 编号
D 点
03 03
CL 材料
LCXJ 励磁相机
KXRL 馈线容量
DMJK 代码接口
GZT 工作停
ZD 振动
BYQBP 变压器备品
FZ 分站
JLBGZ 记录表故障
CZGT 操作杆塔
SDWX 输电维修
DYWD 电源网点
MS 秒数
BXG 不锈钢
PJXX 评价小项
WT 问题
JSS 计算省
ZJ 组件
LPRZ 两票日志
GL 隔离
CYCKG 常用词开关
L 了
HY 会议
ZZX 装置线
SCADAMX SCADA母线
CMS CMS
MD 名单
” ”
BZ 标准
QKBG 情况表各
HGQDZDZ 互感器电站电站
MS 描述
BJ 部件
JSDWYQ 接收单位仪器
JSJSB 计算机设备
PH 破坏
RQ 容器
FJDGT 分界点杆塔
JHDDZY 计划带电作业
XJDB 需进度表
ZF 主分
SBSY 设备适用
SZZ 式柱站
YDQX 月度抢修
DYMX 低压母线
YXRZ 运行日志
ÈWM 二维码
JDQGNB 继电器功能表
ZZDG 装置大纲
JXJY 检修绝缘
F 发
SH 审核
GY 高压
ZW 主网
DB 调拨
DL- 电缆-
QXTJ 气象条件
JDHD 监督活动
LBKB 录波控保
DKQXT 电抗器详图
XLBZ 线路班组
JXJX 检修检修
DYYD 对应异动
GZBD 改造变电
XLYH 线路用户
XXKV XXkV
D 倒
JKGL 接口管理
66KV 66kV
ZH 转换
ZJ 中间
ZXCY 子项参演
KCPD 库存配电
WZGL 外柱隔离
SBJY 设备绝缘
JS 建设
CB 车表
YDW 与电网
TB 同步
Y 与
BLDKQ 避雷电抗器
DZYH 电站用户
SZGL 设置管理
DRL 电容量
BJZS 备件柱上
QHÈC 切换二次
SBWL 设备物料
MXB 明细表
ZGCZ 整改存在
JHXM 计划项目
ZYLX 专业类型
CZMP 操作铭牌
ZJFL 专家分类
DWMC 单位名称
WH 维护
ZJ 支架
JY 集约
PWB 票文本
DÀWJZBR 档案文件值班日
JL 级联
TQRSB 台区熔丝表
ZBCL 指标材料
LL 两率
SBMM 设备命名
BHLX 保护例行
DJ 电机
YL 压力
ÈC 二次
BLQ 避雷器
RK 入库
Y 由
SBÈZ 设备二种
ÈSN 二三年
H 后
ZYH 周用户
）ZD ）自动
NXZF 年限站房
Z 站
GJBD 归集变电
DYZD 定义终端
DD 调度
DY 第一
MXBB 明细报表
F 非
JGDB 技改督办
PX 排序
D 电
TJGDZ 统计改电重
Y 压
LBZL 滤波直流
CB 储备
DN 电能
SJBND 数据表年度
MXZT 模型状态
KGGL 开关隔离
PDXX 配电信息
CJSJX 抽检数据项
. .
ZH 综合
SCCZ 上传操作
JLBYH 记录表隐患
SYBZ 试验班组
DW 队伍
RW 任务
HMC 灰密测
DYSS 对应所属
DCSW 导出实物
TQYH 台区用户
DX 定性
ZYFK 作业反馈
GJ 关键
DZJG 电阻间隔
LD 领导
ZN 站内
FXQK 分析情况
DDXX 带电信息
QXXX 抢修信息
）TQ ）土墙
CB 拆表
SXJ 上下级
GGML 各个目录
DY 打压
TZFW 跳闸防外
ZXX 中心线
DSJSY 地市级试验
ZB 周报
Z 闸
ZLC 周流程
XXGL 信息关联
BLX 避雷线
ZB 总表
JLBXD 记录表蓄电
JLHW 记录红外
BZJZ 标准技术
DHYJ 动火一级
WSD 温湿度
SH 损耗
XMGL 项目管理
PDGL 配电关联
JZLB 交直流不
DZWB 电站文本
DYYJ 对应元件
SDJY 输电建议
HY 合一
ZS 指示
Z 整
BZYLWT 变重遗留问题
XJJL 新建记录
RZF 日志非
SBDÈZ 设备第二种
MB 面表
SX 生效
FÀ 方案
TQZ 台区站
SXTZ 事项投资
YXD 运行点
JD 接地
TDP 停电票
ZLZB 质量指标
QCWL 清册物料
SJG 市结果
ZBBB 指标版本
KY 跨越
CDGC 测点工程
JX 解析
JDJDW 监督监督网
RZXK 日志许可
TQZD 台区终端
DLSB 电缆设备
XG 新购
GL 管理
WB- 文本-
ZWTZ 主网图站
QXYX 抢修演习
KZCS 控制措施
SJ 数据
BYQLQ 变压器雷器
SY 适用
GYDS 工业电视
FJBZT 分解表状态
PG 屏柜
BS 标识
PF 批复
GZJZGF 改造技术规范
DYPD 低压配电
BZ 步骤
BLBD 保留变电
FZ 负载
GCSG 工程施工
LSGC 临时过程
JYZL 精益资料
QXCW 缺陷测温
MXYJ 明细一级
GZSG 工作施工
DZDYZ 电站第一种
SBDY 设备对应
PDWD 配电网点
KY 可用
JLL 记录令
BPBJ 备品备件
XMBSY 项目表试验
SDFF 输电方法
MB 模版
YQ 仪器
-SY -试验
XMDM 项目代码
ID id
JY 绝缘
DLJM 道路居民
GC 规程
TJFL 统计分类
JXDX 检修地形
SWQK 事务情况
CLLSJL 存量历史记录
HLZW 环路站外
FY 复用
DZGD 电站供电
TJZ 统计中
LXDY 类型定义
BX 报修
BZĀQ 标准安全
YXDX 运行单线
YJGL 依据关联
TJZT 统计状态
BFBD 部分变电
PJDZB 评价导则表
QD 区段
KXQX 馈线抢修
DKLQ 电抗雷器
ZSZT 柱上专题
SQ 申请
RLSB 人脸识别
JGYXRZ 机构运行日志
XXSJ 信息时间
DYGL 低压隔离
JHDX 计划地形
DZB 电阻表
DS 典设
WZ 文字
HZB 汇总表
BXS 包巡视
J 及
GCGL 工程关联
FK 反馈
SDJL 输电记录
YYH 与用户
YY 应用
GZSD 工作水电
YG 一个
BLQZ 避雷器站
CS 测试
YD 远动
ERP ERP
D 到
YL 遗留
FWT 范围图
TB 头表
XJ3 下级3
ZLND 资料年度
TQGT 台区杆塔
YDKZ 移动控制
JCD 检测点
GZTDTZ 工作停电通知
LCBXM 里程碑项目
KBR 库别日
HD 活动
XS 系数
SBRW 设备任务
NDJHGC 年度计划过程
SBZC 设备资产
JKJL 监控监理
D 调
CG 超供
SP 色谱
PF 评分
PD 配调
DDYPB 低电压配变
ZBXX 指标信息
ZSBD 柱上变电
ĀZ 安装
GZYY 改造应用
DF 得分
ZBSJ 指标市级
SJFW 数据防误
BB 包表
FS 附属
TY 投运
TJYJ 统计元件
HLZ 换流站
RYYL 人员逾龄
SYFWWL 适用范围网络
YHSL 用户数量
YFZ 与分组
XZ 新增
GJ 挂接
FB 分别
QXHB 抢修合并
JGYT 技改一体
TG 特高
BPBP 备品备品
TBZJ 同步中间
À 按
BDW 变单位
FZT 辅助图
YS 运输
GB 杆表
XMG 项目各
KGDD 开关地点
GJ 改建
ZK 状况
RWGL 任务关联
YF 远方
JTXT 简图详图
JX 接线
DLGQB 电缆沟桥表
PDJB 配电基本
YHS 用户数
FZRD 负载日度
FZDB 负载对比
WS 温湿
FSWB 方式文本
Q 墙
JJBGZ 交接班故障
SBLLZ 设备联络站
GP 高频
KXDL 馈线电缆
HLDRQ 换流电容器
TJBYQ 统计变压器
ZWDLFZ 站外电缆分支
ZG 直供
ZZJC 装置监测
ZLWB 质量文本
DYJL 对应记录
YDZ 月度中
XX 形象
LGXM 零购项目
DÈZ 第二种
GZQX 改造缺陷
B 包
FZ 幅值
ZY 专业
QXSD 缺陷手动
SYCG 试验采购
JXZT 检修状态
KBSY 库表试验
MXGX 明细关系
JJ 紧急
JLBWM 记录表误码
X 新
QXB 缺陷板
JĀQCS 及安全措施
ZLDY 直流电源
DY 低压
BZRW 步骤任务
JHZ 计划站
BJ 半径
XKSJ 许可事件
JTY 及停役
XLGZ 线路故障
TG 通过
SJBDL 数据表电量
ZDSBZLD 终端设备直流电
GH 归还
FXGX 分析关系
YJ 运检
BTDM 不同代码
ZZ 职责
JHXH 计划型号
DYRY 低压人员
SBDYZ 设备第一种
GJGC 改建工程
ZQL 准确率
SQD 申请单
JHYW 计划业务
TC 退出
QB 器表
XM 项目
BDWH 保电维护
IC IC
TDZB 停电主表
JHB 计划表
BW 变位
XX 下线
TJJG 统计技改
/KD /空调
JGRY 架构人员
DZ 定值
LBB 量版本
XS 巡视
QS 签收
YHJL 隐患记录
JBH 及保护
DLQD 断路器点
ZCJW 资产旧物
TYGZ 停运故障
JZGZ 技术改造
FLRW 分类任务
SYJD 试验监督
H 或
LSLC 历史流程
BWBW 部位部位
, ,
GZGZ 改造工作
ZB 专变
JSJG 计算结果
DXYJ 导线运检
KXYX 馈线影响
FXZ 发信中
KH 客户
SNTTB 室内投退表
ZG 整改
FXG 防小过
JB 接班
XL 下列
JLBH 交流保护
RQLB 容器流变
TQGL 台区隔离
DYJL 低压记录
）XX ）信息
CL 车辆
BMSJ 编码数据
— —
DYDY 电压电压
GCTZ 工程投资
JC 集成
QGC 全过程
WZGL 位置关联
QT 全停
ZHDX 重合单线
BZHPF 标准化评分
HW 红外
PLS 旁路上
XBSY 相别试验
ǑH 耦合
QMXM 签名项目
BZHRL 标准化容量
LX 联系
HLDKQ 换流电抗器
ZZ 自主
TS 提升
SBZL 设备直流
CJ 采集
YYZT 原因状态
PD 频度
LR 率日
HC 弧垂
BBHLJ 版本号连接
JG 技改
XTLX 系统类型
BSBCZ 表四表操作
RQ， 容器，
JJBPD 交接班配电
GZB 公专变
GZBJ 工作备件
ZĀ 治安
/HC /核查
SD 市调
DXDX 地线导线
JHJHB 计划计划表
DYTZ 定义台账
KKX 可靠性
ZZLBQ 装置滤波器
XXFX 信息防汛
HGQJB 互感器基本
JLBJX 记录表检修
GZYQ 改造要求
NRGZ 内容故障
JXJG 检修间隔
SJB- 数据表-
MXZT 明细状态
GZZDPJ 故障诊断判据
JHZX 计划专项
DB 点表
LSZ 历设置
)XX )信息
DZSG 调整施工
YXWL 运行物理
DYPB 低压盘表
WXDFB 危险点范本
JX 检修
HSKJC 函数库检查
DPMÈC 大屏幕二次
CH 测厚
FLD 分类点
KGZ 开关站
NLJG 年龄结构
Y 用
LB 流变
FJ 分解
YZ 原则
PDY 配电应
BLQSY 避雷器试验
WC 完成
SDZW 输电主网
JLBGL 记录表关联
GL 关联
DF 打分
JSGSRZR 计算公式日志日
JYDX 精益大项
（ （
GK 关口
DZFX 电站防汛
PD 盘点
L 类
JJ 金具
WXD 危险点
-WT -问题
DYFJ 电源分界
QXPG 抢修派工
ZLJZ 质量技术
SDH- 属地化-
JHJD 计划进度
LSJX 量数据项
YTH 一体化
FP 分配
DB 打包
CWZX 财务专项
SH 山火
） ）
CZ 材质
ZZ 组织
PDSY 配电试验
GZY 工作月
FJLX 分级类型
ZJ 之间
RYDYZ 人员第一种
DKDRQ 电抗电容器
ZY 主要
QXPB 抢修排班
HLZDQ 换流站电器
LS 冷水
BLQDRQ 避雷器电容器
GJBG 根据变更
CK 测控
JZPX 极值培训
BZPZ 编制配置
DXZT 大修状态
OPGW OPGW
GZHZ 改造汇总
DDZY 带电作业
DZBPB 对照表配变
XBSY 项表试验
-BZ -标志
PDBB 配电报表
XTFW 系统阀外
JCL 及车辆
BZCJ 标准厂家
QXX 缺陷性
LLLX 拉路联系
JLBJG 记录表结果
GISPW GIS配网
GBXLZB 杆表线路总表
GJHD 告警火点
HLZT 环路专题
JLBP 记录表票
SGDL 收工电力
QWS 卡完善
XLSCADA 线路SCADA
SBYH 设备用户
XSSB 巡视设备
JL 记录
TYSQ 停役申请
WM 文名
PDSJ 配电设计
Z 转
ZL 直流
ZZFW 装置防误
KXSF 馈线收发
GX 关系
YJTC 意见退出
JY 建议
DZJRD 电站接入点
TDPW 停电配网
YD 用电
ZJ 装接
PBR 配变日
ZX 执行
DÀ 档案
BZ 本中
JHJL 计划记录
HZBXM 汇总表项目
BLQT 保留其他
ZBSB 值表数表
KY 可以
TBSSXZ 同步实施细则
DS 定时
PJSJB 评价数据表
XZ 校正
GZNR 工作内容
DY 定义
JLBCW 记录表测温
GRL 该容量
YX 演习
DW 电网
JG 结果
LG 两个
JZ 进展
YX 营销
DY 等由
TGHG 套管互感
）Y ）由
L 率
XLBG 线路变更
JLBSC 记录表上传
TJKX 统计馈线
XQ 细情
G 柜
E E
JDLBQ 接地滤波器
ZYGX 专业关系
FJWZ 废旧物资
QXPW 缺陷配网
ZY 最远
GCHZ 工程汇总
CLZZ 处理资质
ZG 值供
ZN 智能
B 班
ZBWX 主表维修
DB 斗臂
TJBB 统计比表
GGSS 公共设施
QJ 器具
S 是
XK 许可
DM 代码
LJ 连接
FWGD 范围供电
ZH 重合
FWGYS 服务供应商
XZJ 现状及
JB 机表
DT 电通
JJBJB 交接班接班
GYSGZ 供应商故障
WJDD 文件带电
DCZC 导出资产
ÉW 额外
GXGW 光纤岗位
SYTB 索引图表
YXXM 营销项目
JGGH 技改规划
FWTS 服务投诉
G 供
LXZH 类型转换
）SJ ）时间
SJB 数据表
SZ 数值
YHGL 隐患关联
JDL 及断路
JGBB 机构报表
YZHD 验证火点
DWYQ 单位仪器
DG 大纲
DBFY 单表费用
BCRY 班次人员
FZ 分组
ZL 遮拦
FBD 反变电
JLBTW 记录表提问
ZJY 专家月
H 厚
TJLX 统计类型
LD 流电
DBBF 段表变分
MX 模型
YÀFJ 预案分接
NXPW 年限配网
BZ 包子
GZTC 改造退出
GDSC 归档审查
QXYD 抢修月度
DXPB 对象配变
ZSQ 指示器
JLJG 记录结果
G， 柜，
BZY 变重月
NX 年限
DLZT 电缆专题
DMSQ 代码申请
SBXX 设备信息
LJDYH 连接点用户
ZQZZZR 政区站址责任
RZJL 日志记录
JLBJC 记录表监测
FXSJ 分析事件
GGX 该关系
ZZZF 装置站房
DZC 电阻测
QS 气室
）ZW ）站外
JLB 记录表
PSY 破实验
NGL 内隔离
GZDL 工作电力
APP APP
BB 版本
QKBJLB 情况表记录表
BMGK 编码概况
YJLP 运检令牌
ZP 转派
XY 校验
XJZL 巡检直流
TB 头部
FD 防盗
)ZW )站外
SBJG 设备结构
ZT 状态
SS 实时
QJ 期间
S 水
SYFWBD 适用范围变电
ZMR 值默认
GMZC 规模资产
JLBYH 记录表用户
SYSB- 试验设备-
DRZH 导入综合
SCADASCADA SCADASCADA
YLC 与流程
BYQZH 变压器组合
TX 图像
MXDL 明细电量
ZY 注意
C 材
OMS OMS
JCXB 基础项表
C 池
CL 串联
SDRQ 式电容器
ZZCJ 装置插件
KZFJ 扩展附件
SX 事项
GZBD 工作变电
ZNMS 智能码数
QJ 区间
DLQRDQ 断路器熔断器
FZT 分状态
2 2
CD 充电
LDZ 漏点字
JLBLX 记录表类型
JY 检验
JKGZ 接口故障
DX 大修
QBD 全变电
DMYC 代码用词
SYJZ 私有技术
BLQPZ 避雷器配置
ZLB 种类表
KXDY 馈线对应
JHBM 计划部门
FG 分工
FS 发送
FLXL 分类线路
DYDB 对应打包
ZZZB 装置阻波
HC 缓存
FSJLB 方式记录表
TJGL 统计管理
PJWB 评价文本
TDSQ 停电申请
WGWL 无功物理
GZ 故障
JGD 技改单
QKBRW 情况表任务
XFXTFJ 消防系统附件
GYX 公用箱
JJB 交接班
GG 公共
BBGZ 报表故障
YK 遥控
ZL- 资料-
JZ 技术
GZJG 改造结果
JDJJX 鉴定经济性
HLJD 互联接地
JD 继电
TF 涂覆
S， 损，
YXYH 营销用户
H 和
DSY 大试验
DXD 单项点
DXJ 调相机
TC 塔材
ZZXB 装置箱表
JHTD 计划停电
PG- 屏柜-
SHJC 生活检查
ZR 增容
JHCX 计划成效
YDXM 月度项目
DTL 单体令
SS 设施
Z 早
DYXB 低压箱表
FDGL 发电关联
DLPW 电流配网
JCBD 检测变电
TJXM 统计项目
GDD 归档点
ZJ 专家
SHSH 上火山火
ZCJG 造成技改
FBTB 覆冰图表
SBSH 设备售后
ZCSJB 资产数据表
CJ 拆旧
JLBD 结论变电
YZ 阈值
SYSB 试验设备
ZWBD 站外变电
JLX 及立项
DZJLB 电站记录表
TGYRW 特高压任务
DZJL 电站记录
DYÈW 电压二维
SB 识别
ZGTP 整改拓扑
PSSDXF 排水隧道消防
JHGL 计划管理
SX 三相
Z 字
JHZ 计划主
QXYC 抢修用车
SBPD 设备配电
95598 95598
SBPC 设备普查
HC 核查
XZQ 行政区
XZ 细则
SWXM 实物项目
S 书
FZ 阀值
ZBYJ 指标运检
X 性
3 3
XX 消息
359 359
PB 配变
GZGL 改造管理
XQRW 详情任务
SJ 事件
“ “
DYPB 对应配变
GCPB 工程票表
DYPB 电压配变
B 保
JGPT 技改平台
PJJL 评价记录
TBJT 头表接头
XJ 小结
QKPMS 情况pms
DZX 电子型
GCXMGC 工程项目工程
CW 错误
CC 层测
OMSGC oms过程
WZ 完整
BQ 补气
QXYB 缺陷阅表
)LX )类型
TJZY 统计主要
ZJ 资金
BCLX 班次类型
JZ 机制
JLKB 记录库表
PSXT 排水系统
Z 再
SC 生成
TJDZ 统计对照
1.1 1.1
RYDDZY 人员带电作业
JDBH 继电保护
Y 也
MX 母线
C 叉
NRJG 内容结果
JS 解锁
BLBLZ 避雷避雷针
MXBB 明细白班
GZGS 改造估算
GBXT 广播系统
X 县
ZB 账表
QP 强迫
ZS 展示
P 派
IDDM ID代码
MR 每日
MP 铭牌
10KVSY 10KV试验
ZTB 状态表
BLBC 避雷补偿
DNBZY 电能表主要
P 偏
GY 供应
SY 试验
PDZT 配电状态
JDX 接地线
LJ 累计
XX 消谐
FZPJ 负载平均
ST 视图
BYBQTFY 表一表其他费用
GX 工序
TJSQ 统计申请
SYH 时用户
HGQ 互感器
BWSY 部位试验
XMB 项目表
SKXX 水库信息
DLQDZ 断路器电站
SBBG 设备变更
SXXX 属性信息
XQHZB 详情汇总表
DZWJ 电子文件
SBGN 设备功能
LCBZT 里程碑状态
TJZ 统计重
YG 应挂
XZC 行政村
6.3 6.3
ZS 正式
ZCXX 资产信息
SBFW 设备防误
DC 电池
DC 导出
MDBD 名单变电
ZBBD 主表变电
HGQLB 互感器类别
QKBBYQ 情况表变压器
YHDM 隐患代码
SBGL 设备关联
WZMB 位置模板
CC 存储
ZWMCBD 中文名称变电
YWP 运维配
SWJL 实物记录
SJ 史记
LC 里程
MBXB 模板项表
SJ 实际
QDCL 清单材料
DLQB 电缆桥表
YDRW 异动任务
KKXDC 可靠性调差
LX 零星
FZYP 辅助研判
JBHW 局部红外
ZBR 值班人
GC 过程
ZBH 指标化
GLQX 管理抢修
DX 短信
GLGT 光缆杆塔
XZY 细则月
HB 换班
JLBRDQ 记录表熔断器
JCFX 检测风险
YYH 引用户
)10KV )10kv
D 对
YB 仪表
GCBM 工程部门
KZ 扩展
JSY 检三运
LX 立项
GYSXM 供应商项目
J 极
XTXT 系统详图
DW 单位
JGNL 结构年龄
ZZGZ 装置故障
JG 竣工
CYC 常用词
DBYD 单表异动
ZB 阻波
RLPZ 人脸配置
JL 计量
TJY 统计月
GS 公司
SJBHW 数据表红外
ZB 子表
XSBB 系数版本
YÀZX 预案执行
YJ 意见
RZGK 日志管控
LQ 冷却
GJB 工井表
ZCLY 资产利用
RZLX 日志类型
JHGMGX 计划规模贡献
QKBGZ 情况表工作
GXSS 工序十三
BY- 变压-
XXDBB 信息点版本
JHQK 计划情况
TY 停用
DLQDL 断路器断路
LC 流程
MBSY 模板试验
WEBSERVICE webservice
YSYJ 要素一键
YY 用于
NR 内容
BP 备品
YJLP 元件两票
SBZ 设备站
BJYH 半径用户
DQ 盗窃
SJ 市级
DZ 对照
JLXZ 记录行政
SY 所用
MXX 明细箱
XGBXB 箱柜表箱表
WZGT 位置杆塔
GZKC 工作勘察
JLBGY 记录表供应
FL 分类
XB 系表
ZB 组表
JR 接入
ZBCL 总表材料
PT 平台
LPGC 两票工程
JXYH 检修用户
DXDX 短信短信
GD 过电
FZDY 负载电压
JLBJZ 记录表进展
TQ 同期
HYBP 会议备品
YJXX 依据信息
GY 工业
PJJG 评价结果
WSBBZ 网省表表字
YSZYS 预算总预算
QKBMB 情况表模板
JY 经研
ZQL 正确率
DTU DTU
DZZY 电站作业
DYDZDZ 电压电站电站
DQ 当前
JXGZ 检修规则
YWND 运维年度
SDMSY 时代码所有
MC 名称
DMPD 代码判断
PB 排班
BHH 保护合
SD 属地
MK 模块
SH 损坏
DMZT 代码状态
BLQXT 避雷器详图
RZFX 日志防汛
Z 帐
RYĀQCS 人员安全措施
DLXX 地理信息
XXSH 信息山火
）DL ）电量
TZĀQ 跳闸安全
YZT 与状态
SB- 设备-
DZ 定制
FWZ 范围站
HL 换流
GH 更换
DZFD 电站放电
NZ 耐张
DXND 大修年度
YSM 与寿命
FSGM 方式规模
JSJ 计算机
XXSJJH 信息数据交换
LXR 联系人
S 省
QXBD 缺陷变电
KB 控保
SGDL 事故电力
JSDWYX 接收单位影响
KKXSJ 可靠性事件
QKBGL 情况表关联
TS 特殊
ZX 最新
SGDYZ 收工第一种
PW5% 配网5%
YJ 依据
KBSB 库表树表
ZZXD 装置蓄电
SBZ 设备子
